date,state,value
2020-10-26,Central Atlantic,2.505423745516875
2020-10-26,New England,2.316962667314278
2020-10-26,New York State,2.394564287750642
2020-10-26,New York City,2.3280486130909015
2020-11-02,Central Atlantic,2.490527408212757
2020-11-02,New England,2.312632593340417
2020-11-02,New York State,2.3904615748470657
2020-11-02,New York City,2.301514167410896
2020-11-09,Central Atlantic,2.4682905563537147
2020-11-09,New England,2.312632593340417
2020-11-09,New York State,2.3793431489175445
2020-11-09,New York City,2.2903957414813747
2020-11-16,Central Atlantic,2.512764260071799
2020-11-16,New England,2.323751019269938
2020-11-16,New York State,2.3904615748470657
2020-11-16,New York City,2.323751019269938
2020-11-23,Central Atlantic,2.5016458341422783
2020-11-23,New England,2.312632593340417
2020-11-23,New York State,2.3904615748470657
2020-11-23,New York City,2.323751019269938
2020-11-30,Central Atlantic,2.5683563897194057
2020-11-30,New England,2.33486944519946
2020-11-30,New York State,2.3904615748470657
2020-11-30,New York City,2.3793431489175445
2020-12-07,Central Atlantic,2.5587911025145065
2020-12-07,New England,2.3483277650782486
2020-12-07,New York State,2.4037128538772636
2020-12-07,New York City,2.3704818005978545
2020-12-14,Central Atlantic,2.569868120274309
2020-12-14,New England,2.3704818005978545
2020-12-14,New York State,2.4037128538772636
2020-12-14,New York City,2.4037128538772636
2020-12-21,Central Atlantic,2.6141761913135215
2020-12-21,New England,2.4258668893968696
2020-12-21,New York State,2.4812519781958855
2020-12-21,New York City,2.4812519781958855
2020-12-28,Central Atlantic,2.6141761913135215
2020-12-28,New England,2.448020924916476
2020-12-28,New York State,2.4812519781958855
2020-12-28,New York City,2.459097942676279
2021-01-04,Central Atlantic,2.6365125645740313
2021-01-04,New England,2.471041064705368
2021-01-04,New York State,2.493103931354523
2021-01-04,New York City,2.5041353646791005
2021-01-11,Central Atlantic,2.7027011645214962
2021-01-11,New England,2.515166798003678
2021-01-11,New York State,2.5482610979774107
2021-01-11,New York City,2.581355397951143
2021-01-18,Central Atlantic,2.7799211977935387
2021-01-18,New England,2.603418264600298
2021-01-18,New York State,2.6475439978986084
2021-01-18,New York City,2.680638297872341
2021-01-25,Central Atlantic,2.7909526311181163
2021-01-25,New England,2.6254811312494533
2021-01-25,New York State,2.6916697311969187
2021-01-25,New York City,2.7027011645214962
2021-02-01,Central Atlantic,2.7927019555003247
2021-02-01,New England,2.6387735012601494
2021-02-01,New York State,2.6937479492030696
2021-02-01,New York City,2.704742838791653
2021-02-08,Central Atlantic,2.8476764034432445
2021-02-08,New England,2.6937479492030696
2021-02-08,New York State,2.7377275075574055
2021-02-08,New York City,2.748722397145989
2021-02-15,Central Atlantic,2.8916559617975803
2021-02-15,New England,2.7157377283802373
2021-02-15,New York State,2.7817070659117404
2021-02-15,New York City,2.814691734677493
2021-02-22,Central Atlantic,3.012599747272004
2021-02-22,New England,2.814691734677493
2021-02-22,New York State,2.9026508513861646
2021-02-22,New York City,2.9246406305633323
2021-03-01,Central Atlantic,3.078741725540123
2021-03-01,New England,2.892483329333069
2021-03-01,New York State,2.991090715560333
2021-03-01,New York City,3.01300346805528
2021-03-08,Central Atlantic,3.1335236067774916
2021-03-08,New England,2.9472652105704378
2021-03-08,New York State,3.034916220550228
2021-03-08,New York City,3.0458725967977016
