date,countyfips,value,county,state
2020-07-24,09003,-0.8670000000000001,Hartford,CT
2020-07-24,09005,28.9,Litchfield,CT
2020-07-24,09009,3.34,New Haven,CT
2020-07-24,34003,6.909999999999999,Bergen,NJ
2020-07-24,34017,2.46,Hudson,NJ
2020-07-24,34025,10.7,Monmouth,NJ
2020-07-24,34027,3.6799999999999997,Morris,NJ
2020-07-24,36059,-3.4799999999999995,Nassau,NY
2020-07-24,36103,5.82,Suffolk,NY
2020-07-24,36119,-8.24,Westchester,NY
2020-07-25,09001,-3.9,Fairfield,CT
2020-07-25,09003,-4.33,Hartford,CT
2020-07-25,09005,29.299999999999997,Litchfield,CT
2020-07-25,09009,4.29,New Haven,CT
2020-07-25,34003,7.249999999999999,Bergen,NJ
2020-07-25,34017,3.49,Hudson,NJ
2020-07-25,34025,11.700000000000001,Monmouth,NJ
2020-07-25,34027,3.5900000000000003,Morris,NJ
2020-07-25,36059,-2.25,Nassau,NY
2020-07-25,36103,5.8999999999999995,Suffolk,NY
2020-07-25,36119,-9.379999999999999,Westchester,NY
2020-07-26,09001,-4.42,Fairfield,CT
2020-07-26,09003,-3.38,Hartford,CT
2020-07-26,09005,26.400000000000002,Litchfield,CT
2020-07-26,09009,4.8,New Haven,CT
2020-07-26,34003,7.6,Bergen,NJ
2020-07-26,34017,2.44,Hudson,NJ
2020-07-26,34025,11.799999999999999,Monmouth,NJ
2020-07-26,34027,5.220000000000001,Morris,NJ
2020-07-26,36059,-3.44,Nassau,NY
2020-07-26,36103,6.1899999999999995,Suffolk,NY
2020-07-26,36119,-10.5,Westchester,NY
2020-07-27,09001,-1.8499999999999999,Fairfield,CT
2020-07-27,09003,-1.51,Hartford,CT
2020-07-27,09005,22.2,Litchfield,CT
2020-07-27,09009,4.33,New Haven,CT
2020-07-27,34003,8.76,Bergen,NJ
2020-07-27,34017,2.77,Hudson,NJ
2020-07-27,34025,11.700000000000001,Monmouth,NJ
2020-07-27,34027,4.73,Morris,NJ
2020-07-27,36059,-2.13,Nassau,NY
2020-07-27,36103,7.1,Suffolk,NY
2020-07-27,36119,-10.6,Westchester,NY
2020-07-28,09001,-2.15,Fairfield,CT
2020-07-28,09003,-1.29,Hartford,CT
2020-07-28,09005,22.900000000000002,Litchfield,CT
2020-07-28,09009,3.16,New Haven,CT
2020-07-28,34003,9.68,Bergen,NJ
2020-07-28,34017,3.3300000000000005,Hudson,NJ
2020-07-28,34025,11.4,Monmouth,NJ
2020-07-28,34027,3.35,Morris,NJ
2020-07-28,36059,-1.49,Nassau,NY
2020-07-28,36103,7.64,Suffolk,NY
2020-07-28,36119,-9.139999999999999,Westchester,NY
2020-07-29,09001,-1.83,Fairfield,CT
2020-07-29,09003,-2.11,Hartford,CT
2020-07-29,09005,21.8,Litchfield,CT
2020-07-29,09009,3.19,New Haven,CT
2020-07-29,34003,11.4,Bergen,NJ
2020-07-29,34017,2.8400000000000003,Hudson,NJ
2020-07-29,34025,12.2,Monmouth,NJ
2020-07-29,34027,2.94,Morris,NJ
2020-07-29,36059,-0.0272,Nassau,NY
2020-07-29,36103,8.39,Suffolk,NY
2020-07-29,36119,-8.32,Westchester,NY
2020-07-30,09001,-0.9900000000000001,Fairfield,CT
2020-07-30,09003,-2,Hartford,CT
2020-07-30,09005,19.6,Litchfield,CT
2020-07-30,09009,4.04,New Haven,CT
2020-07-30,34003,11.3,Bergen,NJ
2020-07-30,34017,0.153,Hudson,NJ
2020-07-30,34025,10.7,Monmouth,NJ
2020-07-30,34027,3.06,Morris,NJ
2020-07-30,36059,-0.028499999999999998,Nassau,NY
2020-07-30,36103,7.84,Suffolk,NY
2020-07-30,36119,-7.93,Westchester,NY
2020-07-31,09001,-0.358,Fairfield,CT
2020-07-31,09003,-0.333,Hartford,CT
2020-07-31,09005,22.400000000000002,Litchfield,CT
2020-07-31,09009,4.06,New Haven,CT
2020-07-31,34003,10.8,Bergen,NJ
2020-07-31,34017,1.08,Hudson,NJ
2020-07-31,34025,11.600000000000001,Monmouth,NJ
2020-07-31,34027,6.03,Morris,NJ
2020-07-31,36059,0.00735,Nassau,NY
2020-07-31,36103,9.9,Suffolk,NY
2020-07-31,36119,-8.129999999999999,Westchester,NY
2020-08-01,09001,-1.7000000000000002,Fairfield,CT
2020-08-01,09003,1.06,Hartford,CT
2020-08-01,09005,21.8,Litchfield,CT
2020-08-01,09009,3.7900000000000005,New Haven,CT
2020-08-01,34003,9.66,Bergen,NJ
2020-08-01,34017,-0.295,Hudson,NJ
2020-08-01,34025,10.5,Monmouth,NJ
2020-08-01,34027,2.48,Morris,NJ
2020-08-01,36059,-2.09,Nassau,NY
2020-08-01,36103,8.95,Suffolk,NY
2020-08-01,36119,-9.610000000000001,Westchester,NY
2020-08-02,09001,-2.53,Fairfield,CT
2020-08-02,09003,0.987,Hartford,CT
2020-08-02,09005,22,Litchfield,CT
2020-08-02,09009,2.5700000000000003,New Haven,CT
2020-08-02,34003,9.89,Bergen,NJ
2020-08-02,34017,-0.76,Hudson,NJ
2020-08-02,34025,9.54,Monmouth,NJ
2020-08-02,34027,2.39,Morris,NJ
2020-08-02,36059,-2.02,Nassau,NY
2020-08-02,36103,8.110000000000001,Suffolk,NY
2020-08-02,36119,-8.67,Westchester,NY
2020-08-03,09001,0.436,Fairfield,CT
2020-08-03,09003,0.496,Hartford,CT
2020-08-03,09005,27.200000000000003,Litchfield,CT
2020-08-03,09009,4.8,New Haven,CT
2020-08-03,34003,10.7,Bergen,NJ
2020-08-03,34017,-0.815,Hudson,NJ
2020-08-03,34025,11.1,Monmouth,NJ
2020-08-03,34027,4.32,Morris,NJ
2020-08-03,36059,-0.676,Nassau,NY
2020-08-03,36103,10.2,Suffolk,NY
2020-08-03,36119,-6.0600000000000005,Westchester,NY
2020-08-04,09001,-0.040299999999999996,Fairfield,CT
2020-08-04,09003,0.91,Hartford,CT
2020-08-04,09005,29.4,Litchfield,CT
2020-08-04,09009,2.6599999999999997,New Haven,CT
